 4.50  8800.  0.0  2.0  0.3715  0.7086 -0.2721 -0.0499 g, L PHOENIX
 5.00  8800.  0.0  2.0  0.3395  0.7707 -0.2812 -0.0920 g, L PHOENIX
 3.50  9000.  0.0  2.0  0.4088  0.7573 -0.5959  0.1780 g, L PHOENIX
 4.00  9000.  0.0  2.0  0.5654  0.2960 -0.0430 -0.0445 g, L PHOENIX
 4.50  9000.  0.0  2.0  0.5327  0.2754  0.0144 -0.0638 g, L PHOENIX
 5.00  9000.  0.0  2.0  0.4423  0.4355  0.0679 -0.2050 g, L PHOENIX
 3.50  9200.  0.0  2.0  0.4389  0.6680 -0.5140  0.1479 g, L PHOENIX
 4.00  9200.  0.0  2.0  0.5962  0.3087 -0.1382  0.0084 g, L PHOENIX
 4.50  9200.  0.0  2.0  0.5329  0.3244 -0.0769 -0.0294 g, L PHOENIX
 5.00  9200.  0.0  2.0  0.4682  0.4381 -0.0703 -0.0978 g, L PHOENIX
 3.50  9400.  0.0  2.0  0.5318  0.4477 -0.3070  0.0735 g, L PHOENIX
 4.00  9400.  0.0  2.0  0.6060  0.3069 -0.1708  0.0263 g, L PHOENIX
 4.50  9400.  0.0  2.0  0.5432  0.3241 -0.1083 -0.0149 g, L PHOENIX
 5.00  9400.  0.0  2.0  0.5454  0.2463  0.0095 -0.0627 g, L PHOENIX
 3.50  9600.  0.0  2.0  0.5146  0.4748 -0.3372  0.0820 g, L PHOENIX
 4.00  9600.  0.0  2.0  0.6094  0.2769 -0.1407  0.0121 g, L PHOENIX
 4.50  9600.  0.0  2.0  0.5549  0.3099 -0.1195 -0.0079 g, L PHOENIX
 5.00  9600.  0.0  2.0  0.5800  0.0978  0.2063 -0.1481 g, L PHOENIX
 3.50  9800.  0.0  2.0  0.5409  0.4312 -0.3192  0.0791 g, L PHOENIX
 4.00  9800.  0.0  2.0  0.6232  0.2471 -0.1247  0.0065 g, L PHOENIX
 4.50  9800.  0.0  2.0  0.5777  0.2774 -0.1149 -0.0059 g, L PHOENIX
 5.00  9800.  0.0  2.0  0.5720  0.2329 -0.0399 -0.0389 g, L PHOENIX
