 4.50  8200.  0.0  2.0  0.8201 -0.9033  1.1756 -0.5011 i, L PHOENIX
 5.00  8200.  0.0  2.0  0.7821 -0.8510  1.1674 -0.5122 i, L PHOENIX
 3.50  8400.  0.0  2.0  0.6885 -0.4865  0.6008 -0.2538 i, L PHOENIX
 4.00  8400.  0.0  2.0  0.8773 -0.9020  1.0752 -0.4405 i, L PHOENIX
 4.50  8400.  0.0  2.0  0.8171 -0.8777  1.1107 -0.4679 i, L PHOENIX
 5.00  8400.  0.0  2.0  0.7768 -0.8284  1.1166 -0.4883 i, L PHOENIX
 3.50  8600.  0.0  2.0  0.7086 -0.5528  0.6601 -0.2726 i, L PHOENIX
 4.00  8600.  0.0  2.0  0.8839 -0.8945  1.0033 -0.3984 i, L PHOENIX
 4.50  8600.  0.0  2.0  0.8247 -0.8869  1.0777 -0.4408 i, L PHOENIX
 5.00  8600.  0.0  2.0  0.7731 -0.8091  1.0680 -0.4643 i, L PHOENIX
 3.50  8800.  0.0  2.0  0.7271 -0.6089  0.7046 -0.2854 i, L PHOENIX
 4.00  8800.  0.0  2.0  0.8859 -0.8794  0.9304 -0.3577 i, L PHOENIX
 4.50  8800.  0.0  2.0  0.7745 -0.7157  0.8645 -0.3577 i, L PHOENIX
 5.00  8800.  0.0  2.0  0.7736 -0.8001  1.0226 -0.4376 i, L PHOENIX
 3.50  9000.  0.0  2.0  0.6903 -0.4398  0.4881 -0.1997 i, L PHOENIX
 4.00  9000.  0.0  2.0  0.8914 -0.9186  0.9608 -0.3657 i, L PHOENIX
 4.50  9000.  0.0  2.0  0.7851 -0.7104  0.7697 -0.3009 i, L PHOENIX
 5.00  9000.  0.0  2.0  0.7659 -0.7363  0.8581 -0.3427 i, L PHOENIX
 3.50  9200.  0.0  2.0  0.7229 -0.5458  0.5892 -0.2325 i, L PHOENIX
 4.00  9200.  0.0  2.0  0.8531 -0.7688  0.7705 -0.2899 i, L PHOENIX
 4.50  9200.  0.0  2.0  0.7841 -0.7341  0.7986 -0.3135 i, L PHOENIX
 5.00  9200.  0.0  2.0  0.7604 -0.7137  0.8098 -0.3221 i, L PHOENIX
 3.50  9400.  0.0  2.0  0.8356 -0.7900  0.8046 -0.3024 i, L PHOENIX
 4.00  9400.  0.0  2.0  0.8347 -0.7393  0.7407 -0.2796 i, L PHOENIX
 4.50  9400.  0.0  2.0  0.7753 -0.7274  0.7843 -0.3057 i, L PHOENIX
 5.00  9400.  0.0  2.0  0.7483 -0.6697  0.7259 -0.2843 i, L PHOENIX
 3.50  9600.  0.0  2.0  0.8217 -0.7942  0.8204 -0.3101 i, L PHOENIX
 4.00  9600.  0.0  2.0  0.8330 -0.7756  0.7839 -0.2950 i, L PHOENIX
 4.50  9600.  0.0  2.0  0.7591 -0.6986  0.7464 -0.2892 i, L PHOENIX
 5.00  9600.  0.0  2.0  0.7320 -0.6509  0.6971 -0.2684 i, L PHOENIX
 3.50  9800.  0.0  2.0  0.8386 -0.8178  0.8300 -0.3114 i, L PHOENIX
 4.00  9800.  0.0  2.0  0.8358 -0.7917  0.7963 -0.2981 i, L PHOENIX
 4.50  9800.  0.0  2.0  0.7579 -0.6926  0.7288 -0.2801 i, L PHOENIX
 5.00  9800.  0.0  2.0  0.7311 -0.6531  0.6963 -0.2706 i, L PHOENIX
