 4.50  7000. -5.0  2.0 -0.2867  2.4343 -2.4366  0.8674 r, L ATLAS
 5.00  7000. -5.0  2.0 -0.2763  2.4123 -2.4135  0.8548 r, L ATLAS
 1.00  7250. -5.0  2.0  0.1033  0.9529 -0.5006  0.0954 r, L ATLAS
 1.50  7250. -5.0  2.0  0.1547  0.7544 -0.2652  0.0055 r, L ATLAS
 2.00  7250. -5.0  2.0  0.1751  0.6035 -0.0409 -0.0944 r, L ATLAS
 2.50  7250. -5.0  2.0  0.1879  0.4555  0.2060 -0.2121 r, L ATLAS
 3.00  7250. -5.0  2.0  0.1820  0.4034  0.3007 -0.2568 r, L ATLAS
 3.50  7250. -5.0  2.0 -0.2065  2.3104 -2.4009  0.8825 r, L ATLAS
 4.00  7250. -5.0  2.0 -0.2518  2.3995 -2.4614  0.8916 r, L ATLAS
 4.50  7250. -5.0  2.0 -0.2651  2.3901 -2.4125  0.8619 r, L ATLAS
 5.00  7250. -5.0  2.0 -0.2634  2.3731 -2.3818  0.8444 r, L ATLAS
 1.00  7500. -5.0  2.0  0.0890  1.1068 -0.7467  0.1965 r, L ATLAS
 1.50  7500. -5.0  2.0  0.1489  0.9012 -0.5075  0.1036 r, L ATLAS
 2.00  7500. -5.0  2.0  0.1691  0.7675 -0.3264  0.0302 r, L ATLAS
 2.50  7500. -5.0  2.0  0.1751  0.6375 -0.1051 -0.0743 r, L ATLAS
 3.00  7500. -5.0  2.0  0.1827  0.4975  0.1428 -0.1953 r, L ATLAS
 3.50  7500. -5.0  2.0  0.1742  0.4515  0.2357 -0.2414 r, L ATLAS
 4.00  7500. -5.0  2.0 -0.2072  2.2489 -2.2732  0.8091 r, L ATLAS
 4.50  7500. -5.0  2.0 -0.2299  2.3140 -2.3532  0.8416 r, L ATLAS
 5.00  7500. -5.0  2.0 -0.2388  2.3259 -2.3573  0.8394 r, L ATLAS
 1.50  7750. -5.0  2.0  0.1614  0.9910 -0.6964  0.1865 r, L ATLAS
 2.00  7750. -5.0  2.0  0.1884  0.8479 -0.5049  0.1072 r, L ATLAS
 2.50  7750. -5.0  2.0  0.1849  0.7658 -0.3682  0.0480 r, L ATLAS
 3.00  7750. -5.0  2.0  0.1834  0.6465 -0.1423 -0.0632 r, L ATLAS
 3.50  7750. -5.0  2.0  0.1815  0.5340  0.0805 -0.1772 r, L ATLAS
 4.00  7750. -5.0  2.0  0.1702  0.4976  0.1651 -0.2216 r, L ATLAS
 4.50  7750. -5.0  2.0 -0.1698  2.1805 -2.2371  0.8001 r, L ATLAS
 5.00  7750. -5.0  2.0 -0.1938  2.2256 -2.2736  0.8105 r, L ATLAS
 1.50  8000. -5.0  2.0  0.1944  0.9964 -0.7858  0.2342 r, L ATLAS
 2.00  8000. -5.0  2.0  0.2238  0.8702 -0.6245  0.1670 r, L ATLAS
 2.50  8000. -5.0  2.0  0.2184  0.8032 -0.5048  0.1125 r, L ATLAS
 3.00  8000. -5.0  2.0  0.1990  0.7595 -0.4005  0.0629 r, L ATLAS
 3.50  8000. -5.0  2.0  0.1950  0.6422 -0.1620 -0.0591 r, L ATLAS
 4.00  8000. -5.0  2.0  0.1802  0.5735  0.0127 -0.1562 r, L ATLAS
 4.50  8000. -5.0  2.0  0.1675  0.5417  0.0936 -0.2000 r, L ATLAS
 5.00  8000. -5.0  2.0 -0.1385  2.1185 -2.1996  0.7891 r, L ATLAS
 2.00  8250. -5.0  2.0  0.2737  0.8201 -0.6517  0.1918 r, L ATLAS
 2.50  8250. -5.0  2.0  0.2682  0.7726 -0.5623  0.1492 r, L ATLAS
 3.00  8250. -5.0  2.0  0.2440  0.7541 -0.4901  0.1118 r, L ATLAS
 3.50  8250. -5.0  2.0  0.2203  0.7235 -0.3942  0.0628 r, L ATLAS
 4.00  8250. -5.0  2.0  0.2090  0.6260 -0.1611 -0.0649 r, L ATLAS
 4.50  8250. -5.0  2.0  0.1902  0.5769 -0.0156 -0.1489 r, L ATLAS
 5.00  8250. -5.0  2.0 -0.0825  1.9645 -2.0321  0.7209 r, L ATLAS
 1.50  8500. -5.0  2.0  0.2873  0.8323 -0.7149  0.2283 r, L ATLAS
 2.00  8500. -5.0  2.0  0.3241  0.7297 -0.6099  0.1862 r, L ATLAS
 2.50  8500. -5.0  2.0  0.3248  0.6865 -0.5401  0.1536 r, L ATLAS
 3.00  8500. -5.0  2.0  0.2962  0.7036 -0.5210  0.1389 r, L ATLAS
 3.50  8500. -5.0  2.0  0.2641  0.7117 -0.4765  0.1113 r, L ATLAS
 4.00  8500. -5.0  2.0  0.2434  0.6713 -0.3565  0.0468 r, L ATLAS
 4.50  8500. -5.0  2.0  0.2223  0.6053 -0.1514 -0.0744 r, L ATLAS
 5.00  8500. -5.0  2.0  0.1891  0.6178 -0.0905 -0.1226 r, L ATLAS
 2.00  8750. -5.0  2.0  0.3677  0.6337 -0.5442  0.1688 r, L ATLAS
 2.50  8750. -5.0  2.0  0.3684  0.6088 -0.5105  0.1532 r, L ATLAS
